Area,Address,City,County,Price,full_address,latitude,longitude
5101,3955 W Lafayette Boulevard,Detroit,Wayne,"$91,500","3955 W Lafayette Boulevard, Detroit, Wayne",42.3157736,-83.0871607
5033,16814 WARWICK Street,Detroit,Wayne,"$91,500","16814 WARWICK Street, Detroit, Wayne",42.4138408,-83.2287968
5033,14610 ASHTON Road,Detroit,Wayne,"$92,000","14610 ASHTON Road, Detroit, Wayne",42.3954917,-83.2187251
5043,901 CHICAGO Boulevard,Detroit,Wayne,"$92,000","901 CHICAGO Boulevard, Detroit, Wayne",42.38321089999999,-83.0918526
5041,20172 PICADILLY Road,Detroit,Wayne,"$92,000","20172 PICADILLY Road, Detroit, Wayne",42.4427195,-83.13724839999999
5043,2285 LONGFELLOW Street,Detroit,Wayne,"$92,000","2285 LONGFELLOW Street, Detroit, Wayne",42.3769668,-83.10601199999999
5033,14405 Stahelin Avenue,Detroit,Wayne,"$92,000","14405 Stahelin Avenue, Detroit, Wayne",42.3928155,-83.22651929999999
5055,3449 KENSINGTON Avenue,Detroit,Wayne,"$92,000","3449 KENSINGTON Avenue, Detroit, Wayne",42.3933376,-82.9285558
5032,22311 ROXFORD Street,Detroit,Wayne,"$92,000","22311 ROXFORD Street, Detroit, Wayne",42.4243356,-83.2617875
5033,14871 ARTESIAN Street,Detroit,Wayne,"$92,150","14871 ARTESIAN Street, Detroit, Wayne",42.3970429,-83.2278358
5033,16163 SUNDERLAND Road,Detroit,Wayne,"$92,334","16163 SUNDERLAND Road, Detroit, Wayne",42.4091339,-83.2278675
5033,16112 ASHTON Avenue,Detroit,Wayne,"$93,000","16112 ASHTON Avenue, Detroit, Wayne",42.4086457,-83.21946570000001
5033,14009 PENROD Street,Detroit,Wayne,"$93,000","14009 PENROD Street, Detroit, Wayne",42.3882087,-83.2213931
5041,18477 OHIO Street,Detroit,Wayne,"$93,000","18477 OHIO Street, Detroit, Wayne",42.4271748,-83.15671329999999
5041,18901 PENNINGTON Drive,Detroit,Wayne,"$93,000","18901 PENNINGTON Drive, Detroit, Wayne",42.4298087,-83.1484265
5055,3820 YORKSHIRE Road,Detroit,Wayne,"$93,500","3820 YORKSHIRE Road, Detroit, Wayne",42.39570579999999,-82.928021
5033,15366 PIEDMONT Street,Detroit,Wayne,"$94,000","15366 PIEDMONT Street, Detroit, Wayne",42.4023324,-83.22986039999999
5041,6110 W OUTER,Detroit,Wayne,"$94,000","6110 W OUTER, Detroit, Wayne",42.420506,-83.1831405
5033,16200 ROSEMONT Avenue,Detroit,Wayne,"$94,000","16200 ROSEMONT Avenue, Detroit, Wayne",42.4098371,-83.220906
5033,10251 W OUTER Drive,Detroit,Wayne,"$94,312","10251 W OUTER Drive, Detroit, Wayne",42.3980355,-83.2329701
5041,17575 SAN JUAN Drive,Detroit,Wayne,"$94,395","17575 SAN JUAN Drive, Detroit, Wayne",42.4218658,-83.1468147
5033,14821 PENROD,Detroit,Wayne,"$94,500","14821 PENROD, Detroit, Wayne",42.3964676,-83.2218146
5043,2024 ATKINSON Street,Detroit,Wayne,"$94,690","2024 ATKINSON Street, Detroit, Wayne",42.3765825,-83.1024312
5083,16252 Ohio Street,Detroit,Wayne,"$95,000","16252 Ohio Street, Detroit, Wayne",42.411946,-83.1554634
5033,14919 Rosemont Avenue,Detroit,Wayne,"$95,000","14919 Rosemont Avenue, Detroit, Wayne",42.3978327,-83.2207179
5042,8026 SORRENTO,Detroit,Wayne,"$95,000","8026 SORRENTO, Detroit, Wayne",42.3519432,-83.17104619999999
5041,20429 LICHFIELD Road,Detroit,Wayne,"$95,000","20429 LICHFIELD Road, Detroit, Wayne",42.44438590000001,-83.1334236
5041,5158 W OUTER,Detroit,Wayne,"$95,000","5158 W OUTER, Detroit, Wayne",42.42833359999999,-83.1759387
5066,190 ASHLAND Street,Detroit,Wayne,"$95,000","190 ASHLAND Street, Detroit, Wayne",42.36215670000001,-82.9316465
5032,20272 Alderton,Detroit,Wayne,"$95,000","20272 Alderton, Detroit, Wayne",42.4406919,-83.26382129999999
5041,19990 SHREWSBURY Road,Detroit,Wayne,"$95,000","19990 SHREWSBURY Road, Detroit, Wayne",42.4401909,-83.13880010000001
5101,2409 CAMPBELL Street,Detroit,Wayne,"$95,000","2409 CAMPBELL Street, Detroit, Wayne",42.3210354,-83.106864
